OFAC Sanctioned XBT Address List
12QtD5BFwRsdNsAZY76UVE1xyCGNTojH9h
1Kuf2Rd8mDyAViwBozGTNYnvWL8uYFrkVo
13f59kUM5FU8MfTG7DCEugYarDhSD7XCoC
1P3ZfGFLezzYGg9k5SVzQmnjyh7nrUmF2y
1EpMiZkQVekM5ij12nMiEwttFPcDK9XhX6
1JREJdZupiFhE7ZzQPtASuMCvvpXC7wRsC
149w62rY42aZBox8fGcmqNsXUzSStKeq8C
1AjZPMsnmpdK2Rv9KQNfMurTXinscVro9V
17ezuJoT3XBbdcwFZbkTnrXbup11F4uhiy
1DH2xDH7TngrDU6LXciprKCBKNcPA1xX8A
33Kja69SQVc8kozpoP7Qw6HFtGxHkiWzTz
3MkUNScqf21EcfWq6T4x2MFgBeSTqhB5t6
18uKfaUjgG52rVeXEi3wxnveww7zZuECtE
134r8iHv69xdT6p5qVKTsHrcUEuBVZAYak
15YK647qtoZQDzNrvY6HJL6QwXduLHfT28
1PfwHNxUnkpfkK9MKjMqzR3Xq3KCtq9u17
14kqryJUxM3a7aEi117KX9hoLUw592WsMR
1F2Gdug9ib9NQMhKMGGJczzMk5SuENoqrp
3F2sZ4jbhvDKQdGbHYPC6ZxFXEau2m5Lqj
1AXUTu9y3H8w4wYx4BjyFWgRhZKDhmcMrn
1Hn9ErTCPRP6j5UDBeuXPGuq5RtRjFJxJQ
1EfMVkxQQuZfBdocpJu6RUsCJvenQWbQyE
17UVSMegvrzfobKC82dHXpZLtLcqzW9stF
39eboeqYNFe2VoLC3mUGx4dh6GNhLB3D2q
39fhoB2DohisGBbHvvfmkdPdShT75CNHdX
3E6rY4dSCDW6y2bzJNwrjvTtdmMQjB6yeh
3EeR8FbcPbkcGj77D6ttneJxmsr3Nu7KGV
3HQRveQzPifZorZLDXHernc5zjoZax8U9f
3JXKQ81JzBqVbB8VHdV9Jtd7auWokkdPgY
3KHfXU24Bt3YD5Ef4J7uNp2buCuhrxfGen
3LbDu1rUXHNyiz4i8eb3KwkSSBMf7C583D
3MN8nYo1tt5hLxMwMbxDkXWd7Xu522hb9P
3N6WeZ6i34taX8Ditser6LKWBcXmt2XXL4
1Q9UAQbcDezmyouFrzt94t4dSMxgsUfW1X
1Kys8fqDen8NGFUJ6AFcXfFW5qquuTH4eh
1Q6saNmqKkyFB9mFR68Ck8F7Dp7dTopF2W
1DDA93oZPn7wte2eR1ABwcFoxUFxkKMwCf
12udabs2TkX7NXCSj6KpqXfakjE52ZPLhz
1DT3tenf14cxz9WFNxmYrXFbB6TFiVWA9U
1Fz29BQp82pE3vXXcsZoMNQ3KSHfMzfMe3
1AeSq93WDNdLoEJ92sex7T8xQZoYYm8BtS
1AoxtfiBQ22DvbhqAN9Ctb8sULMRhrdwTr
18Qj1THHuETfYhuRDZycXJbWwDMGw73Poa
1MnbhWe5wr7Ut45ReyQsm96PwnM9jD7KaH
1DYFJ6CuBvrxyoQSuBzVsNcetY9tvdsrag
15Pt4NwZaUmMUwS2bQbyyncc7mzgWShtv8
1PhqQpaGCrqSxQ6QDXcv14QCd1U98Zp34E
13YBQr2Cp1YY3xqq2qngaPb7ca1o4ugeq6
1KgudqxMfYaGzqAA7MS4DcsqejtMteqhix
1FRyL9gmFGbzfYDAB4iY9836DJe3KSnjP9
1DbShx4r8i2XesthoDBf5EkYWz5dsKEusV
